tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:371476,7,,"Diaz Acosta, Facundo",,,ARG,,sr:competitor:157302,,,"Watanuki, Yosuke",,,JPN,,6-4 6-7 6-7,3,qualification_round_1,,3,3,110,67,50,28,17,,5,9,7,122,66,50,32,17,,1,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:161262,4,,"Seyboth Wild, Thiago",,,BRA,,sr:competitor:39712,,,"Saville, Luke",,,AUS,,1-6 6-3 6-2,3,qualification_round_1,,6,2,74,47,37,11,10,,14,5,6,96,52,34,23,9,,3,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:196440,,,"Dellavedova, Matthew",,,AUS,,sr:competitor:72248,6,,"Varillas, Juan Pablo",,,PER,,6-3 0-6 6-4,3,qualification_round_1,,5,0,78,60,38,11,10,,3,4,0,66,39,30,14,10,,5,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:58369,,,"Bolt, Alex",,,AUS,,sr:competitor:300540,3,,"Machac, Tomas",,,CZE,,1-6 1-6,3,qualification_round_1,,6,0,32,22,21,7,7,,7,1,1,45,31,13,6,2,,0,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:108565,5,,"Zapata Miralles, Bernabe",,,ESP,,sr:competitor:119140,,,"Ellis, Blake",,,AUS,,3-6 2-6,3,qualification_round_1,,3,1,48,37,28,7,8,,4,4,1,50,24,14,12,4,,2,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:227358,,,"Walton, Adam",,,AUS,,sr:competitor:73987,2,,"Cachin, Pedro",,,ARG,,5-7 6-7,3,qualification_round_1,,5,1,78,49,38,17,9,,6,3,6,81,49,34,17,10,,3,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:675175,,,"McCabe, James",,,AUS,,sr:competitor:179628,,,"Haliak, Mikalai",,,,,1-6 4-6,3,qualification_round_1,,11,2,48,27,23,13,9,,9,0,2,63,44,28,6,5,,0,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:63606,8,,"Rinderknech, Arthur",,,FRA,,sr:competitor:845028,,,"Bradshaw, Jacob",,,AUS,,3-6 4-6,3,qualification_round_1,,11,3,55,38,31,8,9,,8,2,0,66,47,30,9,6,,3,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:58369,,,"Bolt, Alex",,,AUS,,sr:competitor:196440,,,"Dellavedova, Matthew",,,AUS,,6-1 6-4,3,qualification_final,,6,2,48,30,27,11,9,,5,0,1,44,36,21,5,5,,2,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:371476,7,,"Diaz Acosta, Facundo",,,ARG,,sr:competitor:161262,4,,"Seyboth Wild, Thiago",,,BRA,,6-2 6-7 6-7,3,qualification_final,,4,3,100,72,50,15,13,,6,4,1,104,73,50,18,14,,10,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:227358,,,"Walton, Adam",,,AUS,,sr:competitor:108565,5,,"Zapata Miralles, Bernabe",,,ESP,,6-3 6-2,3,qualification_final,,1,0,50,34,19,10,5,,13,0,2,69,44,18,10,2,,8,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:63606,8,,"Rinderknech, Arthur",,,FRA,,sr:competitor:675175,,,"McCabe, James",,,AUS,,4-6 5-7,3,qualification_final,,6,0,56,34,30,15,11,,6,5,0,67,42,29,14,9,,0,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:352776,,,"Draper, Jack",,,GBR,,sr:competitor:257721,5,,"Baez, Sebastian",,,ARG,,6-1 6-3,3,round_of_32,,5,2,51,31,25,10,8,,5,1,1,49,34,19,7,4,,0,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:371436,,,"Shevchenko, Alexander",,,KAZ,,sr:competitor:169496,6,,"Etcheverry, Tomas Martin",,,ARG,,6-7 6-4 5-7,3,round_of_32,,5,4,116,71,49,19,13,,11,9,2,111,74,50,16,12,,14,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:130398,,,"Kecmanovic, Miomir",,,SRB,,sr:competitor:63438,,,"McDonald, Mackenzie",,,USA,,4-6 2-6,3,round_of_32,,2,2,47,34,23,7,7,,9,2,5,55,36,21,5,4,,5,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:39234,,,"Lajovic, Dusan",,,SRB,,sr:competitor:71280,,,"Kokkinakis, Thanasi",,,AUS,,3-6 6-1 6-4,3,round_of_32,,3,0,84,62,41,14,11,,9,4,4,81,56,36,10,9,,6,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:505550,,,"Arnaldi, Matteo",,,ITA,,sr:competitor:108565,,,"Zapata Miralles, Bernabe",,,ESP,,6-4 6-3,3,round_of_32,,1,4,59,26,17,22,8,,10,1,1,71,49,25,11,5,,2,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:58221,,,"O'Connell, Christopher",,,AUS,,sr:competitor:63606,,,"Rinderknech, Arthur",,,FRA,,6-4 6-4,3,round_of_32,,9,2,50,31,29,10,9,,5,10,2,69,49,34,6,7,,1,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:58369,,,"Bolt, Alex",,,AUS,,sr:competitor:161262,,,"Seyboth Wild, Thiago",,,BRA,,6-3 6-2,3,round_of_32,,7,1,39,27,22,10,8,,11,2,6,71,46,28,9,5,,0,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:87690,,,"Thompson, Jordan",,,AUS,,sr:competitor:371476,,,"Diaz Acosta, Facundo",,,ARG,,6-2 6-2,3,round_of_32,,1,0,42,26,22,11,8,,8,2,4,56,35,16,13,4,,3,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:104847,,,"Sonego, Lorenzo",,,ITA,,sr:competitor:47975,,,"Hanfmann, Yannick",,,DEU,,5-7 6-2 6-7,3,round_of_32,,14,2,103,76,64,8,15,,4,5,0,111,71,50,27,15,,4,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:339377,7,,"Lehecka, Jiri",,,CZE,,sr:competitor:227358,,,"Walton, Adam",,,AUS,,6-1 6-3,3,round_of_32,,9,3,51,25,21,14,8,,9,4,0,51,35,23,3,4,,4,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:163480,8,,"Bublik, Alexander",,,KAZ,,sr:competitor:675175,,,"McCabe, James",,,AUS,,2-6 3-6,3,round_of_32,,2,5,48,31,25,8,7,,6,1,1,56,34,12,16,4,,3,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:16375,,,"Evans, Daniel",,,GBR,,sr:competitor:299130,,,"Hijikata, Rinky",,,AUS,,3-6 4-6,3,round_of_32,,5,2,57,36,31,12,10,,11,4,5,69,41,27,13,7,,2,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:89632,2,,"Jarry, Nicolas",,,CHL,,sr:competitor:505550,,,"Arnaldi, Matteo",,,ITA,,7-6 6-7 4-6,3,round_of_16,,9,3,124,84,64,17,15,,10,17,5,121,74,57,21,14,,8,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:58221,,,"O'Connell, Christopher",,,AUS,,sr:competitor:371436,,,"Shevchenko, Alexander",,,KAZ,,3-6 1-6,3,round_of_16,,12,1,45,28,25,10,8,,8,3,1,46,31,18,6,4,,0,,,,
